River,Reach,River_Sta,Profile,Q_Total,Min_Ch_El,WS_Elev,Crit_WS,EG_Elev,EG_Slope,Vel_Chnl,Flow_Area,Top_Width,Froude_Chl,Freq
Mississippi,LD10ToSylvanUS,615.1,Max WS,196677.3,577.41,617.59,,617.72,0.000045,3.16,76092.51,7683.23,0.09,10 Year
Mississippi,LD10ToSylvanUS,614.92,Max WS,196671,576.86,617.54,,617.67,0.000055,3.25,77919.84,7931.52,0.1,10 Year 
Mississippi,LD10ToSylvanUS,614.71,Max WS,196676.6,576.03,617.52,,617.61,0.000043,2.84,98651.16,8120.72,0.09,10 Year
Mississippi,LD10ToSylvanUS,614.23,Max WS,196682.8,555.94,617.45,,617.52,0.000031,2.51,131644.8,9038.73,0.08,10 Year
Mississippi,LD10ToSylvanUS,613.67,Max WS,196654.6,574.71,617.29,,617.4,0.000065,3.32,117979.5,9763.07,0.11,10 Year
Mississippi,LD10ToSylvanUS,613.09,Max WS,196652.8,585.67,617.15,,617.22,0.000057,2.67,130004.9,10183.08,0.1,10 Year
Mississippi,LD10ToSylvanUS,612.56,Max WS,196627.5,579.93,617.04,,617.08,0.000039,2.39,140166.7,10353.29,0.08,10 Year
Mississippi,LD10ToSylvanUS,612,Max WS,196623.5,578.39,616.89,,616.97,0.000065,3.14,117312.8,9339.9,0.11,10 Year
Mississippi,LD10ToSylvanUS,611.22,Max WS,196583.3,582.59,616.69,,616.76,0.000054,2.77,118967.9,8946.07,0.1,10 Year
Mississippi,LD10ToSylvanUS,610.6,Max WS,196571.8,589.02,616.51,,616.57,0.000055,2.63,120391.2,8952.44,0.1,10 Year
Mississippi,LD10ToSylvanUS,610.09,Max WS,196587.3,583.1,616.39,,616.45,0.000044,2.37,120963,8163.58,0.09,10 Year
Mississippi,LD10ToSylvanUS,609.49,Max WS,196544.7,584.92,616.23,,616.29,0.000054,2.62,115261.7,8350.7,0.1,10 Year
Mississippi,LD10ToSylvanUS,609.06,Max WS,196553.9,587.74,616.1,,616.17,0.000053,2.44,119690,8389.84,0.09,10 Year
Mississippi,LD10ToSylvanUS,608.66,Max WS,196550,582.04,615.97,,616.06,0.000066,2.82,100103.5,7813.8,0.11,10 Year
Mississippi,LD10ToSylvanUS,608.05,Max WS,196505.3,578.53,615.77,,615.87,0.000068,2.92,94531.16,7946.2,0.11,10 Year
Mississippi,LD10ToSylvanUS,607.52,Max WS,196985.2,569.37,615.42,,615.67,0.000101,4.22,76878.85,7700.41,0.14,10 Year
Mississippi,LD10ToSylvanUS,606.96,Max WS,196981.3,571.83,615.21,,615.41,0.000077,3.91,85625.66,7056.31,0.12,10 Year
Mississippi,LD10ToSylvanUS,606.16,Max WS,196945.9,574.79,614.97,,615.12,0.000059,3.55,86523.84,5704.63,0.11,10 Year
Mississippi,LD10ToSylvanUS,605.57,Max WS,196934.9,576.89,614.82,,614.93,0.000065,3.19,93521.33,6735.1,0.11,10 Year
