highwater_mark_name,river_mile,gage_zero,gage_datum,conversion_factor_2_NAVD88,stage,elevation_original,elevation_NAVD88,peak_date,hw
"LD 19 (Keokuk, IA)",364.2,477.83,MSL12,-0.564,,504.60,504.04,6/18/2008,hw
LD 20 POOL,343.25,468.5,MSL12,-0.62,,496.84,496.22,6/18/2008,hw
"LD 20 (Canton, MO)",343.2,468.5,MSL12,-0.62,,495.93,495.31,6/18/2008,hw
"Quincy, IL",327,458.59,MSL12,-0.665,,489.38,488.72,6/18/2008,hw
LD 21 POOL,324.95,457.8,MSL12,-0.665,,488.42,487.76,6/18/2008,hw
"LD 21 (Quincy, IL)",324.9,457.8,MSL12,-0.665,,487.36,486.70,6/18/2008,hw
"Hannibal, MO",309,449.43,MSL12,-0.58,,478.91,478.33,6/18/2008,hw
LD 22 POOL,301.25,446.1,MSL12,-0.567,,474.73,474.16,6/18/2008,hw
"LD 22 (Saverton, MO)",301.2,446.1,NAVD88,,,473.90,473.90,6/23/2008,hw
"Mundys Landing, MO",293,441.59,NAVD88,,,468.90,468.90,6/23/2008,hw
"Louisiana, MO",282.9,437.03,NAVD88,,,464.03,464.03,6/23/2008,hw
LD 24 POOL,273.5,421.8,NAVD88,,,459.17,459.17,6/23/2008,hw
LD 24 At Clarksville,273.2,421.57,NAVD88,,,458.30,458.30,6/23/2008,hw
"Mosier Landing, IL",260.3,399.54,NAVD88,,,451.84,451.84,6/23/2008,hw
N/A (Surveyed),259.4,NA,NA,,,451.156,451.156,6/23/2008,hw
LD 25 POOL,241.5,407,NAVD88,,,444.32,444.32,6/26/2008,hw
LD 25  at Winfiled,241.2,406.47,NAVD88,,,443.55,443.55,6/27/2008,hw
N/A (Surveyed),229.8,NA,NA,,,440.269,440.269,6/27/2008,hw
N/A (Surveyed),226.7,NA,NA,,,436.973,436.973,6/27/2008,hw
N/A (Surveyed),225.9,NA,NA,,,437.159,437.159,6/27/2008,hw
"Grafton, IL",218,403.22,NAVD88,,,434.01,434.01,6/28/2008,hw
