ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 06:00,419.58,417.19,241431,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 08:00,418.46,417.16,283438,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 10:00,417.19,417.08,295140,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 12:00,416.53,416.99,283603,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 14:00,416.30,416.82,278025,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 16:00,416.13,416.78,275585,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 18:00,415.97,416.59,273828,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 20:00,415.82,416.44,272328,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 22:00,415.68,416.29,270825,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,28 May 2008, 24:00,415.53,416.15,269126,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,29 May 2008, 02:00,415.37,416.00,267305,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,29 May 2008, 04:00,415.22,415.87,265369,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,29 May 2008, 06:00,415.06,415.70,263380,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,29 May 2008, 08:00,414.90,415.54,261201,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,29 May 2008, 10:00,414.73,415.36,258987,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,29 May 2008, 12:00,414.59,415.33,256570,
202.57,MISSISSIPPI,ILLINOIS_MIZZOU,ALTON,29 May 2008, 14:00,414.46,415.19,254147,
