ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 06:00,441.35,441.39,172974,193750
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 08:00,441.46,441.31,181674,192549
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 10:00,441.64,441.27,189497,191950
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 12:00,441.63,441.23,189196,191350
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 14:00,441.56,441.12,187133,189699
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 16:00,441.46,441.16,184837,190299
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 18:00,441.36,441.1,182779,189399
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 20:00,441.26,441.08,181022,189100
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 22:00,441.17,441.08,179514,189100
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,28 May 2008, 24:00,441.08,441.01,178242,188050
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 02:00,440.99,440.99,177175,187750
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 04:00,440.91,440.96,176266,187300
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 06:00,440.83,440.95,175514,187150
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 08:00,440.75,440.94,174889,186999
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 10:00,440.68,440.91,174396,186549
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 12:00,440.62,440.92,174011,186700
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 14:00,440.57,440.89,173715,186250
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 16:00,440.52,440.86,173468,185800
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 18:00,440.48,440.87,173281,185949
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 20:00,440.44,440.89,173119,186250
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 22:00,440.4,440.92,172980,186700
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,29 May 2008, 24:00,440.37,440.87,172866,185949
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 02:00,440.34,440.89,172789,186250
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 04:00,440.32,440.87,172738,185949
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 06:00,440.3,440.87,172717,185949
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 08:00,440.29,440.89,172724,186250
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 10:00,440.27,440.88,172757,186099
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 12:00,440.26,440.91,172811,186549
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 14:00,440.25,440.95,172864,187150
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 16:00,440.25,440.95,172905,187150
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 18:00,440.24,440.95,172923,187150
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 20:00,440.23,440.96,172913,187300
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 22:00,440.23,440.98,172879,187600
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,30 May 2008, 24:00,440.22,440.99,172825,187750
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 02:00,440.22,441,172759,187899
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 04:00,440.21,441.04,172690,188500
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 06:00,440.2,441.06,172625,188799
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 08:00,440.2,441.08,172572,189100
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 10:00,440.19,441.14,172534,190000
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 12:00,440.19,441.15,172511,190149
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 14:00,440.19,441.2,172504,190900
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 16:00,440.19,441.19,172512,190749
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 18:00,440.19,441.17,172531,190450
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 20:00,440.19,441.18,172563,190600
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 22:00,440.19,441.12,172605,189699
260.17,MISSISSIPPI,SALT_CUIVRE,MOSIER_LANDING,31 May 2008, 24:00,440.2,441.1,172659,189399
