ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 06:00,445.7,446.23,172481,189110
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 08:00,446.51,446.19,200088,188460
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 10:00,446.46,446.16,189738,188200
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 12:00,446.32,446.12,184273,187940
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 14:00,446.18,446.11,181018,187290
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 16:00,446.05,446.08,178765,186770
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 18:00,445.94,446.02,177080,186380
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 20:00,445.84,446.02,175710,186250
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 22:00,445.75,445.99,174635,185340
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,28 May 2008, 24:00,445.67,445.97,173754,185600
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 02:00,445.6,445.95,173036,185210
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 04:00,445.54,445.94,172469,184820
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 06:00,445.49,445.92,172061,184820
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 08:00,445.44,445.93,171814,184820
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 10:00,445.4,445.93,171699,184690
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 12:00,445.37,445.94,171662,184690
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 14:00,445.34,445.93,171662,184820
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 16:00,445.32,445.94,171682,184430
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 18:00,445.3,445.95,171709,184950
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 20:00,445.28,445.95,171745,185210
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 22:00,445.26,445.93,171786,184820
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,29 May 2008, 24:00,445.25,445.94,171842,185210
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 02:00,445.24,445.91,171918,185340
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 04:00,445.23,445.96,172017,185340
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 06:00,445.23,445.98,172138,185210
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 08:00,445.23,445.99,172278,184430
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 10:00,445.23,446.01,172425,185860
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 12:00,445.23,446.03,172560,185470
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 14:00,445.23,446.05,172664,186120
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 16:00,445.22,446.05,172719,186250
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 18:00,445.22,446.07,172723,186380
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 20:00,445.22,446.1,172688,186770
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 22:00,445.22,446.09,172626,187030
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,30 May 2008, 24:00,445.21,446.13,172551,187160
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 02:00,445.2,446.16,172478,187680
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 04:00,445.2,446.19,172414,188070
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 06:00,445.19,446.24,172369,188460
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 08:00,445.19,446.28,172354,189110
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 10:00,445.19,446.29,172374,189500
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 12:00,445.19,446.27,172424,189370
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 14:00,445.19,446.25,172494,189240
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 16:00,445.19,446.25,172569,188980
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 18:00,445.19,446.21,172645,188720
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 20:00,445.2,446.23,172720,188590
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 22:00,445.2,446.2,172801,188590
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,31 May 2008, 24:00,445.21,446.17,172893,188460
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,01 June 2008, 02:00,445.21,446.16,173007,188070
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,01 June 2008, 04:00,445.22,446.15,173140,187680
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,01 June 2008, 06:00,445.23,446.13,173291,187550
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,01 June 2008, 08:00,445.24,446.12,173455,187290
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,01 June 2008, 10:00,445.25,446.11,173636,187160
273.32,MISSISSIPPI,SALT_CUIVRE,L&D_24_TW,01 June 2008, 12:00,445.26,446.09,173830,187030
