ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 06:00,479.53,480.07,158770,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 08:00,479.57,480.08,162977,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 10:00,479.59,480.08,162681,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 12:00,479.60,480.10,162385,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 14:00,479.61,480.10,162549,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 16:00,479.62,480.10,162649,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 18:00,479.63,480.08,162741,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 20:00,479.64,480.10,162878,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 22:00,479.65,480.12,162950,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,28 May 2008, 24:00,479.66,480.12,163035,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 02:00,479.67,480.14,163267,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 04:00,479.68,480.11,163391,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 06:00,479.69,480.14,163469,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 08:00,479.70,480.20,163605,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 10:00,479.71,480.27,163849,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 12:00,479.72,480.30,164029,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 14:00,479.74,480.29,164395,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 16:00,479.77,480.29,165217,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 18:00,479.80,480.33,165735,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 20:00,479.83,480.36,166140,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 22:00,479.85,480.38,166354,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,29 May 2008, 24:00,479.87,480.38,166354,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 02:00,479.88,480.37,166350,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 04:00,479.89,480.36,166442,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 06:00,479.89,480.35,166479,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 08:00,479.89,480.33,166208,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 10:00,479.89,480.33,165980,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 12:00,479.88,480.33,165962,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 14:00,479.88,480.29,165869,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 16:00,479.87,480.30,165667,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 18:00,479.87,480.33,165609,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 20:00,479.87,480.32,165631,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 22:00,479.87,480.32,165736,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,30 May 2008, 24:00,479.88,480.32,165995,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,31 May 2008, 02:00,479.88,480.31,166019,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,31 May 2008, 04:00,479.87,480.26,165350,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,31 May 2008, 06:00,479.85,480.18,164961,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,31 May 2008, 08:00,479.84,480.12,164974,
343.32,MISSISSIPPI,FOXTOBEAR,L&D_20_POOL,31 May 2008, 10:00,479.85,480.11,165355,
