ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 06:00,484.2,484.45,165077,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 08:00,484.23,484.46,163214,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 10:00,484.21,484.46,162489,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 12:00,484.22,484.47,162677,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 14:00,484.23,484.48,162784,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 16:00,484.24,484.5,162979,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 18:00,484.24,484.5,162915,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 20:00,484.25,484.53,162970,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 22:00,484.25,484.54,163082,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,28 May 08, 24:00,484.26,484.54,163351,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 02:00,484.28,484.57,163579,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 04:00,484.28,484.57,163534,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 06:00,484.29,484.59,163635,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 08:00,484.3,484.59,164012,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 10:00,484.31,484.62,164240,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 12:00,484.32,484.65,164234,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 14:00,484.35,484.69,165333,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 16:00,484.4,484.76,166215,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 18:00,484.42,484.79,166557,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 20:00,484.45,484.79,166792,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 22:00,484.45,484.79,166625,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,29 May 08, 24:00,484.46,484.79,166511,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 02:00,484.46,484.78,166509,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 04:00,484.47,484.78,166669,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 06:00,484.46,484.76,166283,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 08:00,484.45,484.71,165769,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 10:00,484.45,484.74,166015,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 12:00,484.45,484.74,166072,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 14:00,484.43,484.7,165438,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 16:00,484.43,484.7,165747,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 18:00,484.42,484.71,165471,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 20:00,484.43,484.7,165631,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 22:00,484.43,484.69,165867,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,30 May 08, 24:00,484.45,484.71,166338,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 02:00,484.43,484.63,165400,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 04:00,484.4,484.56,164752,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 06:00,484.39,484.52,164545,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 08:00,484.39,484.49,165080,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 10:00,484.42,484.51,165890,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 12:00,484.45,484.52,166723,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 14:00,484.49,484.55,167418,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 16:00,484.52,484.58,168009,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 18:00,484.54,484.58,167975,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 20:00,484.54,484.58,167853,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 22:00,484.54,484.58,167491,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,31 May 08, 24:00,484.53,484.57,167277,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 02:00,484.52,484.56,166868,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 04:00,484.49,484.56,166177,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 06:00,484.46,484.51,165361,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 08:00,484.43,484.49,164760,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 10:00,484.41,484.49,164503,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 12:00,484.39,484.49,164571,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 14:00,484.41,484.56,165024,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 16:00,484.43,484.59,165772,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 18:00,484.46,484.67,166701,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 20:00,484.49,484.69,167019,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 22:00,484.5,484.71,167059,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,1 Jun 08, 24:00,484.5,484.71,166842,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 02:00,484.5,484.72,166567,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 04:00,484.49,484.72,166575,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 06:00,484.49,484.71,166325,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 08:00,484.49,484.72,166389,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 10:00,484.49,484.73,166423,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 12:00,484.47,484.71,166087,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 14:00,484.47,484.73,165977,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 16:00,484.49,484.79,166797,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 18:00,484.52,484.84,167748,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 20:00,484.56,484.88,168613,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 22:00,484.63,484.99,170318,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,2 Jun 08, 24:00,484.69,485.06,171544,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,3 Jun 08, 02:00,484.77,485.21,173318,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,3 Jun 08, 04:00,484.86,485.3,174967,
353.04,MISSISSIPPI,FOXTOBEAR,GREGORY_LANDING,3 Jun 08, 06:00,484.96,485.38,177194,
