ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 06:00,488.43,488.14,137880,137641
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 08:00,488.37,488.13,138636,138715
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 10:00,488.34,488.12,137771,137794
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 12:00,488.35,488.15,138342,138255
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 14:00,488.36,488.19,138570,138562
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 16:00,488.37,488.2,138377,138255
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 18:00,488.39,488.2,139259,139329
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 20:00,488.39,488.21,139235,139329
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 22:00,488.39,488.21,139157,139176
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,28 May 2008, 24:00,488.41,488.27,139684,139636
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 02:00,488.42,488.29,139788,139790
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 04:00,488.43,488.26,139919,139943
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 06:00,488.44,488.37,140073,140097
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 08:00,488.46,488.41,140609,140557
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 10:00,488.47,488.32,140783,140711
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 12:00,488.48,488.39,140739,140711
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 14:00,488.57,488.48,143194,143323
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 16:00,488.58,488.51,142717,142554
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 18:00,488.62,488.51,143497,143476
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 20:00,488.64,488.48,143640,143630
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 22:00,488.63,488.48,143321,143323
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,29 May 2008, 24:00,488.63,488.48,143171,143169
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 02:00,488.63,488.48,143451,143476
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 04:00,488.65,488.46,143708,143784
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 06:00,488.61,488.42,142557,142554
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 08:00,488.59,488.4,142093,142093
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 10:00,488.6,488.43,142580,142554
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 12:00,488.6,488.46,142306,142093
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 14:00,488.58,488.42,142198,142247
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 16:00,488.57,488.41,141704,141632
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 18:00,488.57,488.42,142085,142093
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 20:00,488.58,488.39,141929,141939
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 22:00,488.58,488.34,141787,141786
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,30 May 2008, 24:00,488.61,488.24,141901,141939
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 02:00,488.51,488.18,138510,138408
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 04:00,488.48,488.15,137839,137794
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 06:00,488.48,488.13,138013,138101
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 08:00,488.5,488.16,138205,138255
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 10:00,488.55,488.17,138943,139022
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 12:00,488.59,488.21,139248,139176
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 14:00,488.61,488.24,139471,139483
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 16:00,488.64,488.23,139591,139483
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 18:00,488.63,488.21,139177,139176
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 20:00,488.62,488.21,139049,139022
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 22:00,488.61,488.2,138888,138869
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,31 May 2008, 24:00,488.62,488.18,139662,139636
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 02:00,488.58,488.18,138730,138562
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 04:00,488.55,488.17,138331,138255
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 06:00,488.51,488.12,137984,137948
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 08:00,488.47,488.11,137542,137487
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 10:00,488.46,488.14,137671,137641
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 12:00,488.49,488.2,139019,139022
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 14:00,488.51,488.25,139605,139636
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 16:00,488.57,488.33,141264,141325
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 18:00,488.62,488.4,142344,142400
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 20:00,488.64,488.4,142235,142247
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 22:00,488.64,488.4,142129,142093
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,01 June 2008, 24:00,488.63,488.4,141967,141939
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,02 June 2008, 02:00,488.62,488.4,141949,141939
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,02 June 2008, 04:00,488.64,488.4,142694,142708
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,02 June 2008, 06:00,488.62,488.4,142087,142093
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,02 June 2008, 08:00,488.62,488.43,142259,142247
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,02 June 2008, 10:00,488.6,488.43,141638,141478
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,02 June 2008, 12:00,488.61,488.42,142550,142554
