ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 06:00,337.38,337.00,472480,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 08:00,337.34,337.05,472258,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 10:00,337.34,337.05,471067,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 12:00,337.33,337.11,469690,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 14:00,337.31,337.14,469111,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 16:00,337.32,337.18,467710,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 18:00,337.33,337.21,467561,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 20:00,337.34,337.24,467792,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 22:00,337.35,337.23,468767,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,28 May 2008, 24:00,337.38,337.30,469372,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 02:00,337.40,337.29,470456,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 04:00,337.43,337.36,471487,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 06:00,337.44,337.37,472530,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 08:00,337.46,337.36,473310,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 10:00,337.46,337.35,474646,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 12:00,337.48,337.41,474244,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 14:00,337.48,337.38,474694,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 16:00,337.49,337.36,474845,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 18:00,337.48,337.35,475417,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 20:00,337.47,337.33,474860,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 22:00,337.46,337.32,475200,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,29 May 2008, 24:00,337.43,337.23,474831,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 02:00,337.39,337.20,474915,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 04:00,337.37,337.13,473532,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 06:00,337.33,337.10,472892,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 08:00,337.26,337.02,472734,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 10:00,337.19,336.93,471255,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 12:00,337.12,336.86,470180,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 14:00,337.05,336.79,468308,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 16:00,336.97,336.71,466492,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 18:00,336.88,336.63,464741,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 20:00,336.79,336.54,462494,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 22:00,336.73,336.46,460013,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,30 May 2008, 24:00,336.65,336.38,457747,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,31 May 2008, 02:00,336.57,336.30,455885,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,31 May 2008, 04:00,336.49,336.25,453581,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,31 May 2008, 06:00,336.41,336.19,450897,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,31 May 2008, 08:00,336.32,336.08,448459,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,31 May 2008, 10:00,336.27,335.96,445026,
52.15,MISSISSIPPI,BIG MUDDY_OHIO,CAPE_GIRARDEAU,31 May 2008, 12:00,336.20,335.98,442721,
