ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,10 April 2013, 08:00,393.84,390.98,264333,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,11 April 2013, 08:00,395.93,392.68,283500,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,12 April 2013, 08:00,397.52,397.88,321623,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,13 April 2013, 08:00,401.36,401.28,392568,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,14 April 2013, 08:00,403.06,402.58,416838,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,15 April 2013, 08:00,402.66,401.78,402667,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,16 April 2013, 08:00,401.64,400.68,381664,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,17 April 2013, 08:00,401.52,401.68,388561,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,18 April 2013, 08:00,403.02,403.08,426978,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,19 April 2013, 08:00,403.70,405.68,458654,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,20 April 2013, 08:00,408.52,408.98,556552,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,21 April 2013, 08:00,411.49,411.08,619686,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,22 April 2013, 08:00,413.30,412.58,662322,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,23 April 2013, 08:00,413.90,413.38,685759,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,24 April 2013, 08:00,413.89,413.78,685932,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,25 April 2013, 08:00,413.75,413.88,677848,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,26 April 2013, 08:00,413.23,413.48,654942,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,27 April 2013, 08:00,412.27,412.78,620132,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,28 April 2013, 08:00,411.27,412.08,589861,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,29 April 2013, 08:00,410.54,411.48,565163,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,30 April 2013, 08:00,410.17,411.28,552278,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,1 May 2013, 08:00,409.67,410.68,535481,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,2 May 2013, 08:00,409.00,409.28,519930,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,3 May 2013, 08:00,407.95,408.98,501255,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,4 May 2013, 08:00,407.02,409.48,489237,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,5 May 2013, 08:00,407.62,409.78,498655,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,6 May 2013, 08:00,408.63,409.58,511757,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,7 May 2013, 08:00,409.61,409.78,529962,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,8 May 2013, 08:00,409.99,410.08,551923,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,10 April 2013, 08:00,393.84,390.98,264333,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,11 April 2013, 08:00,395.93,392.68,283500,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,12 April 2013, 08:00,397.52,397.88,321623,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,13 April 2013, 08:00,401.36,401.28,392568,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,14 April 2013, 08:00,403.06,402.58,416838,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,15 April 2013, 08:00,402.66,401.78,402667,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,16 April 2013, 08:00,401.64,400.68,381664,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,17 April 2013, 08:00,401.52,401.68,388561,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,18 April 2013, 08:00,403.02,403.08,426978,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,19 April 2013, 08:00,403.70,405.68,458654,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,20 April 2013, 08:00,408.52,408.98,556552,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,21 April 2013, 08:00,411.49,411.08,619686,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,22 April 2013, 08:00,413.30,412.58,662322,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,23 April 2013, 08:00,413.90,413.38,685759,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,24 April 2013, 08:00,413.89,413.78,685932,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,25 April 2013, 08:00,413.75,413.88,677848,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,26 April 2013, 08:00,413.23,413.48,654942,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,27 April 2013, 08:00,412.27,412.78,620132,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,28 April 2013, 08:00,411.27,412.08,589861,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,29 April 2013, 08:00,410.54,411.48,565163,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,30 April 2013, 08:00,410.17,411.28,552278,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,1 May 2013, 08:00,409.67,410.68,535481,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,2 May 2013, 08:00,409.00,409.28,519930,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,3 May 2013, 08:00,407.95,408.98,501255,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,4 May 2013, 08:00,407.02,409.48,489237,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,5 May 2013, 08:00,407.62,409.78,498655,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,6 May 2013, 08:00,408.63,409.58,511757,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,7 May 2013, 08:00,409.61,409.78,529962,
176.96,MISSISSIPPI,MISSOURI_MERAMEC,ENGINEERS_DEPOT,8 May 2013, 08:00,409.99,410.08,551923,
