ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 06:00,394.69,392.22,244389,222000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 08:00,395.23,392.3,269081,223000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 10:00,395.81,392.38,275576,224000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 12:00,397.1,392.44,313585,225000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 14:00,397.98,392.54,318701,226000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 16:00,398.23,392.65,314517,227000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 18:00,398.23,392.79,308638,230000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 20:00,398.14,393.16,303491,231000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 22:00,397.99,393.46,297998,238000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,10 April 2013, 24:00,397.79,393.72,292873,241000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 02:00,397.62,393.86,288564,244000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 04:00,397.47,394.03,284955,246000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 06:00,397.33,394.16,281460,247000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 08:00,397.19,394.4,278681,251000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 10:00,397.02,394.83,274594,256000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 12:00,396.86,395.34,271801,263000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 14:00,396.77,395.77,271288,270000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 16:00,396.79,396.3,273873,276000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 18:00,396.95,396.89,279104,286000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 20:00,397.21,397.44,285754,295000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 22:00,397.53,397.88,292529,303000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,11 April 2013, 24:00,397.87,398.26,299407,310000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 02:00,398.13,398.72,303419,316000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 04:00,398.37,399.17,307674,323000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 06:00,398.63,399.5,313437,330000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 08:00,398.92,400.01,318969,337000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 10:00,399.24,400.35,325036,344000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 12:00,399.56,400.64,330505,349000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 14:00,399.89,401.01,336566,356000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 16:00,400.22,401.25,342544,360000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 18:00,400.55,401.44,348640,365000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 20:00,400.89,401.64,355490,368000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 22:00,401.25,401.84,361946,372000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,12 April 2013, 24:00,401.59,401.79,368613,375000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 02:00,401.94,402.16,374697,378000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 04:00,402.26,402.32,380841,382000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 06:00,402.55,402.52,385215,385000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 08:00,402.83,402.68,389942,387000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 10:00,403.11,402.78,394451,390000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 12:00,403.35,403.02,398585,394000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 14:00,403.59,403.13,402650,396000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 16:00,403.79,403.27,405477,398000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 18:00,403.95,403.35,407466,401000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 20:00,404.09,403.38,409219,401000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 22:00,404.21,403.48,410620,403000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,13 April 2013, 24:00,404.31,403.46,411836,406000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 02:00,404.38,403.54,413008,406000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 04:00,404.42,403.55,413723,405000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 06:00,404.45,403.51,414056,406000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 08:00,404.47,403.51,413655,406000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 10:00,404.49,403.42,412958,404000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 12:00,404.5,403.48,412117,404000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 14:00,404.49,403.37,411508,404000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 16:00,404.47,403.25,410723,402000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 18:00,404.44,403.27,409708,402000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 20:00,404.4,403.22,408459,399000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 22:00,404.35,403.09,407229,398000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,14 April 2013, 24:00,404.29,402.93,406013,398000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 02:00,404.23,402.95,404628,394000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 04:00,404.17,402.81,403176,394000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 06:00,404.1,402.75,401766,389000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 08:00,404.03,402.68,400345,390000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 10:00,403.96,402.57,398866,389000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 12:00,403.88,402.44,397340,386000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 14:00,403.8,402.31,395477,384000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 16:00,403.71,402.26,393478,382000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 18:00,403.63,402.22,391658,380000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 20:00,403.54,402.13,389922,380000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 22:00,403.47,402.03,388789,379000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,15 April 2013, 24:00,403.38,401.92,386940,376000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 02:00,403.29,401.84,385401,375000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 04:00,403.19,401.83,383795,371000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 06:00,403.08,401.76,381688,372000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 08:00,402.97,401.73,378608,372000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 10:00,402.89,401.73,377304,372000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 12:00,402.82,401.82,376197,374000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 14:00,402.76,401.96,375228,375000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 16:00,402.71,402.01,374351,377000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 18:00,402.67,402.12,373642,380000
180.01,MISSISSIPPI,MISSOURI_MERAMEC,ST._LOUIS,16 April 2013, 20:00,402.6,402.25,371877,381000
