ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 06:00,457.04,456.47,130351,129408
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 08:00,457.03,456.39,131455,129610
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 10:00,456.96,456.54,132617,130920
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 12:00,456.86,456.65,134173,131697
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 14:00,456.81,456.62,135595,129388
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 16:00,456.79,456.91,136380,133688
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 18:00,456.78,457.17,136833,135946
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 20:00,456.78,457.3,136999,138561
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 22:00,456.77,457.46,137065,142433
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,10 April 2013, 24:00,456.77,457.83,137484,149258
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,11 April 2013, 02:00,456.84,458.1,140012,153400
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,11 April 2013, 04:00,456.95,458.95,141842,165550
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,11 April 2013, 06:00,457.1,459.07,144479,167280
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,11 April 2013, 08:00,457.3,459.28,149301,170400
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,11 April 2013, 10:00,457.51,459.36,151954,171600
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,11 April 2013, 12:00,457.7,459.54,153656,174200
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,11 April 2013, 14:00,457.95,459.72,158450,176880
300.7,MISSISSIPPI,NORTHTOSALT,L&D_22_TW,11 April 2013, 16:00,458.13,459.89,160431,179350
