ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 06:00,469.31,469.36,130171,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 08:00,469.30,469.33,130054,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 10:00,469.30,469.36,132911,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 12:00,469.33,469.33,135653,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 14:00,469.37,469.35,136412,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 16:00,469.36,469.40,136350,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 18:00,469.36,469.50,135685,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 20:00,469.35,469.59,135321,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 22:00,469.37,469.71,134864,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,10 April 2013, 24:00,469.38,469.72,135617,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 02:00,469.38,469.62,137318,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 04:00,469.41,469.74,139090,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 06:00,469.45,470.04,141555,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 08:00,469.65,470.42,143115,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 10:00,469.87,470.76,145348,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 12:00,470.10,470.86,147889,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 14:00,470.34,470.85,150439,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 16:00,470.60,470.95,153258,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 18:00,470.85,471.11,156266,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 20:00,471.11,471.33,159177,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 22:00,471.35,471.60,161938,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,11 April 2013, 24:00,471.59,471.79,164643,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 02:00,471.82,471.95,167267,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 04:00,472.04,472.11,169702,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 06:00,472.25,472.29,172056,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 08:00,472.44,472.44,174309,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 10:00,472.62,472.56,176439,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 12:00,472.78,472.67,178365,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 14:00,472.91,472.79,180063,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 16:00,473.03,472.89,181512,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 18:00,473.13,472.97,182704,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 20:00,473.20,473.05,183720,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 22:00,473.26,473.14,184572,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,12 April 2013, 24:00,473.29,473.20,185288,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 02:00,473.32,473.23,185952,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 04:00,473.33,473.20,186547,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 06:00,473.33,473.20,187110,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 08:00,473.33,473.29,187621,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 10:00,473.32,473.31,188050,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 12:00,473.31,473.29,188383,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 14:00,473.29,473.23,188579,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 16:00,473.27,473.23,188628,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 18:00,473.24,473.24,188571,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 20:00,473.22,473.20,188417,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 22:00,473.19,473.14,188182,
325.03,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_POOL,13 April 2013, 24:00,473.15,473.08,187882,
