ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 06:00,470.05,469.93,129200,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 08:00,470.05,469.82,129597,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 10:00,470.08,469.86,132809,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 12:00,470.13,469.87,135491,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 14:00,470.17,469.88,135992,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 16:00,470.16,469.95,135773,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 18:00,470.15,470.03,135125,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 20:00,470.15,470.10,134769,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 22:00,470.16,470.19,134470,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,10 April 2013, 24:00,470.17,470.33,135234,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 02:00,470.20,470.14,136890,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 04:00,470.24,470.31,138747,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 06:00,470.31,470.60,141227,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 08:00,470.50,470.89,142718,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 10:00,470.72,471.18,144743,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 12:00,470.96,471.52,147017,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 14:00,471.20,471.43,149314,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 16:00,471.45,471.60,151867,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 18:00,471.71,471.73,154604,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 20:00,471.97,471.96,157186,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 22:00,472.21,472.18,159732,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,11 April 2013, 24:00,472.45,472.38,162186,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,12 April 2013, 02:00,472.68,472.58,164731,
326.98,MISSISSIPPI,WYACONDATOFABIUS,QUINCY,12 April 2013, 04:00,472.90,472.74,166969,
