ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 06:00,474.39,473.68,130146,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 08:00,474.47,473.63,133220,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 10:00,474.63,473.68,136571,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 12:00,474.72,473.74,137524,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 14:00,474.70,473.77,135820,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 16:00,474.67,473.83,135059,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 18:00,474.65,473.91,134632,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 20:00,474.64,473.97,134671,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 22:00,474.65,474.03,135100,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,10 April 2013, 24:00,474.70,474.12,136612,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 02:00,474.80,474.08,139030,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 04:00,474.91,474.21,141974,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 06:00,475.05,474.40,145439,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 08:00,475.21,474.62,148344,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 10:00,475.37,474.86,150902,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 12:00,475.54,475.15,153416,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 14:00,475.72,475.24,156271,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 16:00,475.91,475.44,159473,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 18:00,476.12,475.63,162530,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 20:00,476.33,475.86,165335,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 22:00,476.55,476.11,168100,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,11 April 2013, 24:00,476.76,476.30,170656,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 02:00,476.96,476.49,173044,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 04:00,477.15,476.64,175239,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 06:00,477.33,476.78,177206,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 08:00,477.50,476.90,178994,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 10:00,477.65,477.02,180399,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 12:00,477.78,477.13,181529,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 14:00,477.89,477.25,182282,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 16:00,477.98,477.34,182805,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 18:00,478.05,477.41,183138,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 20:00,478.11,477.47,183365,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 22:00,478.15,477.55,183575,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,12 April 2013, 24:00,478.19,477.60,183829,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 02:00,478.22,477.66,184135,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 04:00,478.25,477.69,184492,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 06:00,478.27,477.73,184856,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 08:00,478.29,477.75,185201,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 10:00,478.31,477.77,185453,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 12:00,478.31,477.76,185570,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 14:00,478.31,477.75,185559,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 16:00,478.31,477.73,185440,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 18:00,478.29,477.72,185237,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 20:00,478.28,477.71,184963,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 22:00,478.25,477.68,184637,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,13 April 2013, 24:00,478.23,477.66,184263,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 02:00,478.20,477.65,183853,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 04:00,478.16,477.66,183429,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 06:00,478.13,477.63,183017,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 08:00,478.09,477.62,182628,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 10:00,478.06,477.60,182276,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 12:00,478.03,477.59,181989,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 14:00,478.00,477.56,181769,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 16:00,477.97,477.51,181608,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 18:00,477.95,477.50,181480,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 20:00,477.93,477.44,181376,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 22:00,477.91,477.44,181287,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,14 April 2013, 24:00,477.89,477.43,181213,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 02:00,477.87,477.42,181143,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 04:00,477.86,477.46,181074,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 06:00,477.84,477.48,181004,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 08:00,477.83,477.49,180948,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 10:00,477.82,477.48,180903,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 12:00,477.81,477.48,180871,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 14:00,477.81,477.48,180855,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 16:00,477.80,477.49,180838,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 18:00,477.79,477.49,180826,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 20:00,477.79,477.49,180826,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 22:00,477.78,477.49,180834,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,15 April 2013, 24:00,477.78,477.48,180841,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,16 April 2013, 02:00,477.78,477.49,180831,
335.98,MISSISSIPPI,WYACONDATOFABIUS,LA_GRANGE,16 April 2013, 04:00,477.77,477.47,180793,
