ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 06:00,486.73,485.92,123197,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 08:00,486.7,485.96,124217,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 10:00,486.72,485.97,125483,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 12:00,486.72,486.11,126743,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 14:00,486.73,486.09,127969,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 16:00,486.76,486.03,129193,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 18:00,486.81,486.04,130426,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 20:00,486.87,486.15,131662,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 22:00,486.94,486.26,132901,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,10 April 2013, 24:00,487.02,486.4,134140,123000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 02:00,487.11,486.56,135370,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 04:00,487.21,486.82,136602,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 06:00,487.34,487.05,137823,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 08:00,487.49,487.23,139289,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 10:00,487.66,487.6,140753,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 12:00,487.86,487.83,142222,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 14:00,488.07,488.24,143714,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 16:00,488.28,488.39,145237,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 18:00,488.47,488.55,146783,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 20:00,488.63,488.6,148285,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 22:00,488.78,488.67,149807,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,11 April 2013, 24:00,488.92,488.86,151317,138000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,12 April 2013, 02:00,489.05,488.95,152843,156000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,12 April 2013, 04:00,489.17,489.01,154338,156000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,12 April 2013, 06:00,489.29,489.17,155850,156000
364.27,MISSISSIPPI,IOWATODESM,L&D_19_TAIL,12 April 2013, 08:00,489.36,489.24,156415,156000
