ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,10 April 2013, 08:00,334.51,334.03,253296,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,11 April 2013, 08:00,336.72,334.63,292808,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,12 April 2013, 08:00,337.47,335.93,299394,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,13 April 2013, 08:00,339.92,339.03,346679,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,14 April 2013, 08:00,342.49,343.43,402652,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,15 April 2013, 08:00,343.79,344.03,427574,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,16 April 2013, 08:00,343.83,343.63,425872,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,17 April 2013, 08:00,343.14,343.03,409016,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,18 April 2013, 08:00,343.07,343.73,407184,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,19 April 2013, 08:00,344.51,344.93,432948,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,20 April 2013, 08:00,346.58,347.73,485929,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,21 April 2013, 08:00,348.18,351.93,536639,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,22 April 2013, 08:00,351.09,353.33,633386,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,23 April 2013, 08:00,353.51,353.73,704448,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,24 April 2013, 08:00,354.40,354.93,732631,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,25 April 2013, 08:00,354.71,355.13,736563,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,26 April 2013, 08:00,354.80,355.43,734630,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,27 April 2013, 08:00,354.55,355.03,718719,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,28 April 2013, 08:00,353.96,354.83,693452,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,29 April 2013, 08:00,353.17,354.13,665152,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,30 April 2013, 08:00,352.45,353.73,640632,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,1 May 2013, 08:00,351.90,353.53,621978,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,2 May 2013, 08:00,351.37,353.23,600892,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,3 May 2013, 08:00,350.69,352.43,578780,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,4 May 2013, 08:00,350.21,351.53,559376,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,5 May 2013, 08:00,350.27,353.83,558695,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,6 May 2013, 08:00,350.59,353.93,570901,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,7 May 2013, 08:00,351.00,353.83,588585,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,8 May 2013, 08:00,351.31,353.63,604639,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,10 April 2013, 08:00,334.51,334.03,253296,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,11 April 2013, 08:00,336.72,334.63,292808,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,12 April 2013, 08:00,337.47,335.93,299394,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,13 April 2013, 08:00,339.92,339.03,346679,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,14 April 2013, 08:00,342.49,343.43,402652,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,15 April 2013, 08:00,343.79,344.03,427574,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,16 April 2013, 08:00,343.83,343.63,425872,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,17 April 2013, 08:00,343.14,343.03,409016,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,18 April 2013, 08:00,343.07,343.73,407184,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,19 April 2013, 08:00,344.51,344.93,432948,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,20 April 2013, 08:00,346.58,347.73,485929,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,21 April 2013, 08:00,348.18,351.93,536639,
66.3,MISSISSIPPI,BIG MUDDY_OHIO,MOCCASIN_SPRINGS,22 April 2013, 08:00,351.09,353.33,633386,
