ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 06:00,378.39,380.53,348034,404360
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 08:00,378.49,380.44,352066,402439
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 10:00,378.54,380.4,353639,401585
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 12:00,378.66,380.29,357853,399241
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 14:00,378.86,380.18,364090,396940
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 16:00,379.12,380.12,371700,395686
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 18:00,379.41,380.03,379175,393805
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 20:00,379.68,379.95,384518,392134
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 22:00,379.88,379.84,387716,389757
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,15 June 2014, 24:00,380.02,379.77,389275,388189
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,16 June 2014, 02:00,380.11,379.6,389647,384380
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,16 June 2014, 04:00,380.15,379.53,389124,382811
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,16 June 2014, 06:00,380.16,379.38,387839,379591
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,16 June 2014, 08:00,380.13,379.23,386014,376431
135.5,MISSISSIPPI,MERAMEC_KASKY,BRICKEYS,16 June 2014, 10:00,380.08,379.1,383661,373691
