ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,15 June 2014, 08:00,396.10,396.86,353252,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,16 June 2014, 08:00,397.61,395.36,375116,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,17 June 2014, 08:00,395.29,393.56,328496,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,18 June 2014, 08:00,393.42,392.36,300916,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,19 June 2014, 08:00,393.23,392.86,301568,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,20 June 2014, 08:00,393.13,392.56,299288,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,21 June 2014, 08:00,393.13,392.56,300654,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,22 June 2014, 08:00,393.87,393.66,315081,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,23 June 2014, 08:00,394.52,394.36,325291,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,24 June 2014, 08:00,395.11,395.46,336946,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,25 June 2014, 08:00,396.36,396.56,361088,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,26 June 2014, 08:00,397.38,397.66,379351,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,27 June 2014, 08:00,398.24,398.36,394529,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,28 June 2014, 08:00,398.53,398.46,397985,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,29 June 2014, 08:00,398.62,398.86,399714,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,30 June 2014, 08:00,398.68,399.06,400767,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,1 July 2014, 08:00,398.68,399.06,400732,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,2 July 2014, 08:00,398.78,399.36,403661,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,3 July 2014, 08:00,399.05,399.86,409491,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,4 July 2014, 08:00,399.35,399.96,416500,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,5 July 2014, 08:00,399.54,399.86,423896,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,6 July 2014, 08:00,399.88,400.46,443017,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,7 July 2014, 08:00,400.79,401.06,468834,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,8 July 2014, 08:00,401.71,401.86,484937,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,9 July 2014, 08:00,402.72,402.46,498384,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,10 July 2014, 08:00,404.17,403.96,519980,
168.75,MISSISSIPPI,MISSOURI_MERAMEC,JEFFERSON_BARRACKS,11 July 2014, 08:00,405.77,404.86,548113,
