ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 06:00,410.26,411.94,206322,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 08:00,411.21,411.86,242153,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 10:00,411.89,411.81,258032,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 12:00,412.62,411.77,279038,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 14:00,413.09,411.67,281272,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 16:00,412.82,411.60,262467,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 18:00,412.57,411.46,252823,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 20:00,412.38,411.34,247600,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 22:00,412.34,411.20,250796,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,15 June 2014, 24:00,412.20,411.07,248823,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 02:00,411.85,410.95,235997,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 04:00,411.61,410.84,228088,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 06:00,411.45,410.71,227007,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 08:00,411.29,410.57,227320,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 10:00,411.08,410.46,223649,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 12:00,410.88,410.37,220076,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 14:00,410.66,410.22,216382,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 16:00,410.47,410.09,213298,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 18:00,410.33,410.02,212930,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 20:00,410.14,409.88,209721,
200.31,MISSISSIPPI,ILLINOIS_MIZZOU,MEL_PRICE_L&D_TW,16 June 2014, 22:00,410.01,409.78,208708,
