ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 06:00,448.98,445.28,147645,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 08:00,446.47,445.30,190084,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 10:00,446.04,445.33,172754,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 12:00,445.78,445.36,165672,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 14:00,445.56,445.36,161600,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 16:00,445.45,445.38,156511,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 18:00,445.40,445.37,154884,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 20:00,445.34,445.37,153892,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 22:00,445.31,445.35,153952,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,15 June 2014, 24:00,445.46,445.34,149608,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 02:00,445.51,445.33,147812,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 04:00,445.34,445.30,150177,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 06:00,445.42,445.26,148075,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 08:00,445.40,445.23,148460,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 10:00,445.37,445.33,148306,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 12:00,445.36,445.32,148044,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 14:00,445.33,445.29,147881,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 16:00,445.43,445.27,146739,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 18:00,445.42,445.25,146875,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 20:00,445.42,445.32,146742,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 22:00,445.40,445.38,146385,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,16 June 2014, 24:00,445.38,445.37,146166,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 02:00,445.37,445.35,146003,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 04:00,445.36,445.39,145773,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 06:00,445.36,445.45,145637,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 08:00,445.36,445.53,145874,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 10:00,445.38,445.60,146421,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 12:00,445.40,445.65,147016,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 14:00,445.41,445.70,147557,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 16:00,445.41,445.71,147824,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 18:00,445.41,445.71,147743,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 20:00,445.41,445.58,147426,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 22:00,445.40,445.52,147161,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,17 June 2014, 24:00,445.39,445.52,146862,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 02:00,445.38,445.51,146485,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 04:00,445.38,445.51,146097,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 06:00,445.38,445.53,146143,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 08:00,445.39,445.57,146491,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 10:00,445.41,445.50,146962,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 12:00,445.37,445.49,148266,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 14:00,445.37,445.46,148620,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 16:00,445.38,445.44,148961,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 18:00,445.38,445.39,148998,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 20:00,445.38,445.33,148689,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 22:00,445.38,445.29,148230,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,18 June 2014, 24:00,445.38,445.28,147869,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 02:00,445.38,445.28,147713,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 04:00,445.37,445.27,147925,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 06:00,445.37,445.29,148205,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 08:00,445.39,445.32,148543,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 10:00,445.39,445.34,149164,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 12:00,445.38,445.34,149754,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 14:00,445.36,445.32,150120,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 16:00,445.36,445.28,150214,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 18:00,445.35,445.23,150045,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 20:00,445.42,445.30,148265,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 22:00,445.42,445.26,149353,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,19 June 2014, 24:00,445.42,445.23,149248,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 02:00,445.42,445.21,149001,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 04:00,445.41,445.21,148871,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 06:00,445.41,445.27,148787,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 08:00,445.37,445.33,149656,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 10:00,445.43,445.41,149445,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 12:00,445.42,445.42,151282,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 14:00,445.38,445.48,152733,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 16:00,445.38,445.47,153346,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 18:00,445.36,445.42,154709,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 20:00,445.42,445.42,153804,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 22:00,445.41,445.46,155736,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,20 June 2014, 24:00,445.36,445.49,156927,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 02:00,445.43,445.52,155604,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 04:00,445.41,445.54,157987,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 06:00,445.38,445.56,159161,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 08:00,445.36,445.59,160002,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 10:00,445.35,445.63,160744,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 12:00,445.35,445.65,161475,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 14:00,445.35,445.67,162161,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 16:00,445.34,445.70,162912,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 18:00,445.34,445.80,163754,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 20:00,445.43,445.92,163870,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 22:00,445.43,446.03,165236,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,21 June 2014, 24:00,445.43,446.08,166325,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 02:00,445.42,446.12,167343,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 04:00,445.42,446.20,168380,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 06:00,445.41,446.31,169670,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 08:00,445.45,446.42,170611,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 10:00,445.53,446.53,172059,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 12:00,445.63,446.63,173684,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 14:00,445.72,446.68,175208,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 16:00,445.81,446.78,176527,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 18:00,445.89,446.82,177641,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 20:00,445.96,446.92,178602,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 22:00,446.03,447.07,179491,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,22 June 2014, 24:00,446.10,447.29,180377,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 02:00,446.16,447.40,181342,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 04:00,446.24,447.60,182542,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 06:00,446.32,447.73,184150,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 08:00,446.43,447.88,186144,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 10:00,446.55,448.02,188348,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 12:00,446.68,448.14,190565,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 14:00,446.81,448.12,192686,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 16:00,446.93,448.33,194638,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 18:00,447.04,448.42,196356,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 20:00,447.14,448.53,197922,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 22:00,447.24,448.62,199390,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,23 June 2014, 24:00,447.34,448.72,200801,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,24 June 2014, 02:00,447.44,448.82,202292,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,24 June 2014, 04:00,447.53,448.92,203922,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,24 June 2014, 06:00,447.64,449.05,205735,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,24 June 2014, 08:00,447.75,449.18,207658,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,24 June 2014, 10:00,447.86,449.28,209547,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,24 June 2014, 12:00,447.97,449.36,211522,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,24 June 2014, 14:00,448.08,449.46,213278,
273.53,MISSISSIPPI,SALT_CUIVRE,L&D_24_POOL,24 June 2014, 16:00,448.18,449.55,214810,
