ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 06:00,451.58,449.73,151433,154099
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 08:00,451.18,449.76,163366,154699
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 10:00,450.60,449.80,162321,155500
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 12:00,450.28,449.82,158990,155899
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 14:00,450.06,449.82,156254,155899
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 16:00,449.89,449.82,154577,155899
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 18:00,449.80,449.86,153027,156700
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 20:00,449.74,449.81,152126,155699
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 22:00,449.71,449.80,151091,155500
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,15 June 2014, 24:00,449.68,449.80,150427,155500
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 02:00,449.64,449.78,149288,155099
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 04:00,449.61,449.74,148996,154300
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 06:00,449.58,449.70,148246,153500
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 08:00,449.58,449.69,147921,153229
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 10:00,449.56,449.69,147727,153229
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 12:00,449.54,449.69,147533,153229
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 14:00,449.53,449.65,147362,152150
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 16:00,449.54,449.67,146778,152690
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 18:00,449.54,449.62,146744,151340
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 20:00,449.52,449.62,146130,151340
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 22:00,449.50,449.63,145895,151609
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,16 June 2014, 24:00,449.49,449.60,145809,150799
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,17 June 2014, 02:00,449.48,449.63,145702,151609
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,17 June 2014, 04:00,449.47,449.64,145589,151880
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,17 June 2014, 06:00,449.47,449.70,145655,153500
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,17 June 2014, 08:00,449.48,449.77,146352,154900
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,17 June 2014, 10:00,449.52,449.86,147195,156700
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,17 June 2014, 12:00,449.55,449.90,147699,157500
282.5,MISSISSIPPI,SALT_CUIVRE,LOUISIANA,17 June 2014, 14:00,449.57,449.87,147872,156900
