ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 06:00,462.75,462.67,145856,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 08:00,462.76,462.68,145447,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 10:00,462.76,462.68,145699,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 12:00,462.77,462.67,146703,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 14:00,462.81,462.68,146885,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 16:00,462.83,462.68,147254,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 18:00,462.83,462.69,147334,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 20:00,462.82,462.70,147197,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 22:00,462.80,462.70,147015,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,15 June 2014, 24:00,462.79,462.69,146370,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 02:00,462.79,462.68,146177,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 04:00,462.78,462.65,146104,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 06:00,462.77,462.62,146047,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 08:00,462.77,462.60,145979,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 10:00,462.76,462.58,145946,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 12:00,462.75,462.56,145922,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 14:00,462.75,462.54,145872,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 16:00,462.75,462.52,145823,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 18:00,462.74,462.52,145730,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 20:00,462.75,462.52,145020,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 22:00,462.76,462.54,144901,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,16 June 2014, 24:00,462.76,462.57,144760,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 02:00,462.75,462.56,144685,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 04:00,462.74,462.55,144469,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 06:00,462.72,462.56,144222,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 08:00,462.70,462.57,143903,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 10:00,462.68,462.58,143617,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 12:00,462.66,462.61,143416,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 14:00,462.65,462.64,143238,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 16:00,462.63,462.66,142954,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 18:00,462.61,462.62,142807,
308.94,MISSISSIPPI,NORTHTOSALT,HANNIBAL,17 June 2014, 20:00,462.60,462.61,142713,
