ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 06:00,468.55,469.01,142803,142796
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 08:00,468.53,469.01,143775,142796
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 10:00,468.57,469.01,145343,142796
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 12:00,468.63,469.02,146341,142913
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 14:00,468.66,469.02,146215,142972
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 16:00,468.66,469.02,145781,142913
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 18:00,468.64,469.02,145308,142913
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 20:00,468.62,469.02,144937,142854
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 22:00,468.6,468.99,144677,142620
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,15 June 2014, 24:00,468.59,468.96,144519,142270
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 02:00,468.57,468.93,144379,141918
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 04:00,468.57,468.9,144305,141568
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 06:00,468.56,468.89,144282,141392
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 08:00,468.56,468.86,144290,141041
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 10:00,468.55,468.83,144312,140632
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 12:00,468.55,468.82,144309,140514
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 14:00,468.55,468.8,144256,140398
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 16:00,468.54,468.8,144120,140339
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 18:00,468.53,468.81,143949,140456
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 20:00,468.51,468.83,143669,140690
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 22:00,468.5,468.86,143338,141041
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,16 June 2014, 24:00,468.48,468.88,143024,141216
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,17 June 2014, 02:00,468.48,468.88,142922,141216
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,17 June 2014, 04:00,468.46,468.89,142530,141392
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,17 June 2014, 06:00,468.43,468.91,142175,141626
324.81,MISSISSIPPI,WYACONDATOFABIUS,L&D_21_TAIL,17 June 2014, 08:00,468.41,468.92,141843,141802
