ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 06:00,478.32,478.62,143499,144782
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 08:00,478.41,478.62,149310,144782
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 10:00,478.47,478.62,148449,144782
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 12:00,478.42,478.62,145883,144854
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 14:00,478.39,478.63,144902,144925
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 16:00,478.36,478.61,144139,144639
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 18:00,478.34,478.58,143849,144138
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 20:00,478.33,478.53,143754,143495
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 22:00,478.32,478.49,143765,142923
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,15 June 2014, 24:00,478.32,478.47,143820,142637
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 02:00,478.31,478.45,143885,142351
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 04:00,478.31,478.44,143951,142208
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 06:00,478.32,478.43,144026,141922
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 08:00,478.32,478.41,144098,141207
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 10:00,478.32,478.39,144042,141136
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 12:00,478.31,478.39,143892,141493
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 14:00,478.31,478.39,143686,141493
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 16:00,478.3,478.39,143442,141564
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 18:00,478.29,478.48,143168,142780
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 20:00,478.27,478.55,142856,143852
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 22:00,478.26,478.56,142520,143924
343.19,MISSISSIPPI,FOXTOBEAR,L&D_20_TAIL,16 June 2014, 24:00,478.25,478.58,142170,144138
