ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 06:00,356.39,358.86,354247,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 08:00,356.37,358.75,356129,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 10:00,356.36,358.66,356100,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 12:00,356.36,358.60,356309,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 14:00,356.38,358.50,357076,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 16:00,356.42,358.38,358805,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 18:00,356.50,358.32,361606,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 20:00,356.63,358.21,365336,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 22:00,356.77,358.11,369423,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,15 June 2014, 24:00,356.93,358.03,373363,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 02:00,357.09,357.91,376892,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 04:00,357.23,357.82,379819,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 06:00,357.35,357.70,382039,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 08:00,357.45,357.60,383553,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 10:00,357.52,357.47,384427,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 12:00,357.57,357.37,384710,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 14:00,357.59,357.24,384435,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 16:00,357.59,357.11,383685,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 18:00,357.56,356.98,382503,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 20:00,357.52,356.82,380943,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 22:00,357.46,356.71,379052,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,16 June 2014, 24:00,357.38,356.58,376895,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 02:00,357.29,356.41,374516,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 04:00,357.18,356.29,371955,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 06:00,357.07,356.12,369261,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 08:00,356.94,355.95,366466,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 10:00,356.81,355.81,363536,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 12:00,356.67,355.69,360462,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 14:00,356.52,355.51,357275,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 16:00,356.37,355.37,354021,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 18:00,356.21,355.20,350675,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 20:00,356.04,355.08,347312,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 22:00,355.87,354.93,343918,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,17 June 2014, 24:00,355.70,354.79,340539,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,18 June 2014, 02:00,355.53,354.66,337197,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,18 June 2014, 04:00,355.36,354.50,333860,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,18 June 2014, 06:00,355.19,354.38,330636,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,18 June 2014, 08:00,355.03,354.26,327594,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,18 June 2014, 10:00,354.88,354.14,324769,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,18 June 2014, 12:00,354.74,354.03,322226,
93.97,MISSISSIPPI,KASKY_BIGMUDDY,RED_ROCK_LANDING,18 June 2014, 14:00,354.61,353.93,319885,
