ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 06:00,408.48,407.25,349452,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 08:00,409.15,407.13,376683,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 10:00,409.72,407.01,392533,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 12:00,410.26,407.32,405612,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 14:00,410.64,407.68,409616,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 16:00,410.49,407.42,394516,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 18:00,410.34,407.87,389453,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 20:00,410.20,407.76,385453,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 22:00,410.02,407.87,377532,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,1 April 2017, 24:00,409.92,407.96,374890,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 02:00,409.83,408.23,373151,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 04:00,409.73,408.14,370694,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 06:00,409.66,408.50,369259,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 08:00,409.59,408.61,368023,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 10:00,409.53,408.67,367015,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 12:00,409.48,409.00,366380,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 14:00,409.45,409.01,366255,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 16:00,409.40,409.48,365518,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 18:00,409.38,409.77,364463,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 20:00,409.40,409.65,366707,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 22:00,409.40,409.84,367129,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,2 April 2017, 24:00,409.40,410.03,367135,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,3 April 2017, 02:00,409.39,410.17,366887,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,3 April 2017, 04:00,409.37,410.11,366299,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,3 April 2017, 06:00,409.31,410.22,363203,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,3 April 2017, 08:00,409.26,410.17,362083,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,3 April 2017, 10:00,409.19,409.96,360072,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,3 April 2017, 12:00,409.12,410.04,358014,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,3 April 2017, 14:00,409.04,410.66,356088,
194.16,MISSISSIPPI,MISSOURI_MERAMEC,LOCKS_27_POOL,3 April 2017, 16:00,408.96,410.08,354287,
