ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 06:00,350.4,343.78,369056,262786
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 08:00,350.4,344.06,369561,267409
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 10:00,350.39,344.33,369545,271960
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 12:00,350.38,344.61,369614,276650
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 14:00,350.38,344.9,369928,281434
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 16:00,350.4,345.15,370852,285594
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 18:00,350.45,345.36,372698,289139
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 20:00,350.54,345.6,375476,293204
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 22:00,350.65,345.78,378824,296307
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,01 April 2017, 24:00,350.77,345.98,382241,299761
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 02:00,350.9,346.15,385360,302718
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 04:00,351.02,346.34,388045,306075
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 06:00,351.14,346.52,390242,309256
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 08:00,351.24,346.69,391855,312287
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 10:00,351.32,346.85,393012,315180
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 12:00,351.38,347,393809,317892
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 14:00,351.43,347.08,394209,319339
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 16:00,351.47,347.3,394330,323383
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 18:00,351.49,347.46,394258,326342
81.6,MISSISSIPPI,KASKY_BIGMUDDY,GRAND_TOWER,02 April 2017, 20:00,351.5,347.64,393977,329674
