River_Sta,River,Reach,Gage,date,Event,Run_type,Run_num,Type,value
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 7:00,2001,Calibration,1,WS_Elev,573.4622192
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 7:00,2001,Calibration,1,Model_Q,53632.02734
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 8:00,2001,Calibration,1,WS_Elev,573.4645996
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 8:00,2001,Calibration,1,Model_Q,53665.13672
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 9:00,2001,Calibration,1,WS_Elev,573.4492188
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 9:00,2001,Calibration,1,Model_Q,54111.73438
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 10:00,2001,Calibration,1,WS_Elev,573.4326172
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 10:00,2001,Calibration,1,Model_Q,54215.53516
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 11:00,2001,Calibration,1,WS_Elev,573.4177246
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 11:00,2001,Calibration,1,Model_Q,54228.28906
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 12:00,2001,Calibration,1,WS_Elev,573.4022827
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 12:00,2001,Calibration,1,Obs_WS,573.2199707
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 12:00,2001,Calibration,1,Model_Q,54228.23438
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 13:00,2001,Calibration,1,WS_Elev,573.394165
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 13:00,2001,Calibration,1,Model_Q,54484.46094
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 14:00,2001,Calibration,1,WS_Elev,573.4033813
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 14:00,2001,Calibration,1,Model_Q,54329.73047
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 15:00,2001,Calibration,1,WS_Elev,573.416748
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 15:00,2001,Calibration,1,Model_Q,54213.63281
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 16:00,2001,Calibration,1,WS_Elev,573.4279785
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 16:00,2001,Calibration,1,Model_Q,54208.71875
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 17:00,2001,Calibration,1,WS_Elev,573.4386597
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 17:00,2001,Calibration,1,Model_Q,54233.6875
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/1/2001 18:00,2001,Calibration,1,WS_Elev,573.447998
