River,Reach,River_Sta,Profile,Q_Total,Min_Ch_El,WS_Elev,Crit_WS,EG_Elev,EG_Slope,Vel_Chnl,Flow_Area,Top_Width,Froude_Chl,Freq
Mississippi,LD10ToSylvanUS,615.1,Max WS,230597.9,577.41,619.38,,619.53,0.000051,3.46,82560.13,7758.58,0.1,25 Year
Mississippi,LD10ToSylvanUS,614.92,Max WS,230582,576.86,619.33,,619.48,0.00006,3.49,86570.92,8067.22,0.11,25 Year
Mississippi,LD10ToSylvanUS,614.71,Max WS,230590,576.03,619.31,,619.41,0.000045,3.02,109999.6,8280.26,0.09,25 Year
Mississippi,LD10ToSylvanUS,614.23,Max WS,230560.3,555.94,619.24,,619.32,0.000033,2.7,147734,9208.85,0.08,25 Year
Mississippi,LD10ToSylvanUS,613.67,Max WS,230557.4,574.71,619.08,,619.19,0.000066,3.47,135431.2,9812.61,0.11,25 Year
Mississippi,LD10ToSylvanUS,613.09,Max WS,230544.6,585.67,618.94,,619.01,0.000055,2.77,148224.3,10193.67,0.1,25 Year
Mississippi,LD10ToSylvanUS,612.56,Max WS,230506.9,579.93,618.83,,618.88,0.000039,2.51,158703.2,10361.68,0.08,25 Year
Mississippi,LD10ToSylvanUS,612,Max WS,230512.8,578.39,618.68,,618.77,0.000065,3.27,134056.6,9363.36,0.11,25 Year
Mississippi,LD10ToSylvanUS,611.22,Max WS,230477.1,582.59,618.48,,618.56,0.000054,2.88,135009.9,8955.36,0.1,25 Year
Mississippi,LD10ToSylvanUS,610.6,Max WS,230429.2,589.02,618.3,,618.37,0.000055,2.77,136465.1,9025.14,0.1,25 Year
Mississippi,LD10ToSylvanUS,610.09,Max WS,230427.8,583.1,618.19,,618.25,0.000044,2.5,135621,8200.88,0.09,25 Year
Mississippi,LD10ToSylvanUS,609.49,Max WS,230407.1,584.92,618.03,,618.09,0.000053,2.72,130255.2,8362.66,0.1,25 Year
Mississippi,LD10ToSylvanUS,609.06,Max WS,230413.4,587.74,617.9,,617.97,0.000053,2.58,134759.8,8415.78,0.09,25 Year
Mississippi,LD10ToSylvanUS,608.66,Max WS,230382.2,582.04,617.77,,617.86,0.000066,2.98,114459.3,8394.64,0.11,25 Year
Mississippi,LD10ToSylvanUS,608.05,Max WS,230367.3,578.53,617.56,,617.67,0.000068,3.06,108828.9,7990.2,0.11,25 Year
Mississippi,LD10ToSylvanUS,607.52,Max WS,231344.1,569.37,617.21,,617.48,0.000106,4.49,90818.31,7943.95,0.14,25 Year
Mississippi,LD10ToSylvanUS,606.96,Max WS,231325,571.83,616.97,,617.19,0.000082,4.18,98194.3,7153.74,0.13,25 Year
Mississippi,LD10ToSylvanUS,606.16,Max WS,231260.9,574.79,616.72,,616.89,0.000064,3.82,96592.39,5893.94,0.11,25 Year
