River,Reach,River Sta,Profile,Q Total,Min Ch El,W.S. Elev,Crit W.S.,E.G. Elev,E.G. Slope,Vel Chnl,Flow Area,Top Width,Froude # Chl,Event
Mississippi,DSCoonRapidsDam,866.29,Max WS,65580,811.63,822.23,,822.84,0.000547,6.29,10461.88,1774.18,0.36,2001
Mississippi,DSCoonRapidsDam,866.19,Max WS,65592.84,801.5,822.45,,822.57,0.000062,2.86,28960.43,2339.75,0.13,2001
Mississippi,DSCoonRapidsDam,865.94,Max WS,65582.77,802.7,821.92,,822.48,0.000335,6.6,16087.19,2326.8,0.3,2001
Mississippi,DSCoonRapidsDam,865.66,Max WS,65572.02,802.7,821.31,,821.94,0.000448,7.66,15815.42,4002.82,0.35,2001
Mississippi,DSCoonRapidsDam,865.4,Max WS,65570.8,802.7,821.06,,821.34,0.000177,4.7,25999.75,3782.72,0.22,2001
Mississippi,DSCoonRapidsDam,865.16,Max WS,65569.89,802.1,820.56,813.65,821.07,0.000347,5.93,13657.67,1950.48,0.3,2001
Mississippi,DSCoonRapidsDam,865.06   Highway 610 Brid,,Bridge,,,,,,,,,,2001
Mississippi,DSCoonRapidsDam,864.96,Max WS,65565.02,795.8,820.06,,820.63,0.000292,6.22,14171.13,1520.62,0.28,2001
Mississippi,DSCoonRapidsDam,864.83,Max WS,65566.66,795.8,819.9,,820.42,0.000237,5.79,11471.37,879.02,0.26,2001
Mississippi,DSCoonRapidsDam,864.55,Max WS,65564.87,798.9,819.25,,819.98,0.00036,6.87,9665.74,671.18,0.31,2001
Mississippi,DSCoonRapidsDam,864.34,Max WS,65562,800.4,819.26,,819.64,0.000213,5.28,15790.18,1171.69,0.24,2001
Mississippi,DSCoonRapidsDam,864.08,Max WS,65556.41,796,818.29,,819.33,0.000584,9.08,11821.52,1315.22,0.4,2001
Mississippi,DSCoonRapidsDam,863.8,Max WS,65557.65,786.7,817.87,,818.52,0.000306,6.88,13226.35,1071.41,0.29,2001
Mississippi,DSCoonRapidsDam,863.59,Max WS,65553.75,800.1,817.4,,818.1,0.000376,6.72,9868.61,925.44,0.32,2001
Mississippi,DSCoonRapidsDam,863.14,Max WS,65552.27,788.5,816.95,,817.41,0.000186,5.45,12167.38,935.32,0.23,2001
Mississippi,DSCoonRapidsDam,862.68,Max WS,65549.39,788.5,816.48,,816.96,0.000195,5.53,12598.68,986.96,0.23,2001
Mississippi,DSCoonRapidsDam,862.3,Max WS,65549.02,796.5,815.94,,816.49,0.00026,5.93,11171.04,758.44,0.27,2001
Mississippi,DSCoonRapidsDam,862.2    RiceCreek       ,,Lat Struct,,,,,,,,,,2001
Mississippi,DSCoonRapidsDam,862.08,Max WS,65544.85,791.3,815.7,,816.22,0.000201,5.74,11421.49,649.82,0.24,2001
Mississippi,DSCoonRapidsDam,861.82,Max WS,65932.37,794.3,815.51,,815.92,0.000223,5.16,12777.86,906.81,0.24,2001
Mississippi,DSCoonRapidsDam,861.52,Max WS,65931.97,794.3,815.1,,815.54,0.000284,5.32,12393.7,1007.57,0.27,2001
Mississippi,DSCoonRapidsDam,861.23,Max WS,65930.87,794.7,814.5,,815.11,0.000431,6.8,14369.56,1693.93,0.33,2001
Mississippi,DSCoonRapidsDam,860.98,Max WS,65927.95,795.2,814.09,,814.58,0.000376,6.41,17619.78,2133.99,0.31,2001
Mississippi,DSCoonRapidsDam,860.62,Max WS,65928.16,790.3,813.66,,814.02,0.000143,4.79,13870.76,811.4,0.2,2001
Mississippi,DSCoonRapidsDam,860.47,Max WS,65928.02,789.5,813.37,801.94,813.89,0.000208,5.77,11790.11,757.91,0.24,2001
Mississippi,DSCoonRapidsDam,860.43   I-694 Bridge    ,,Bridge,,,,,,,,,,2001
Mississippi,DSCoonRapidsDam,860.38,Max WS,65925.75,791.7,813.02,,813.64,0.000244,6.3,10667.12,861.56,0.26,2001
Mississippi,DSCoonRapidsDam,860.23,Max WS,65926.69,791.3,812.99,,813.47,0.000192,5.54,12166.92,752.38,0.23,2001
Mississippi,DSCoonRapidsDam,859.97,Max WS,65925.8,792.1,812.51,,813.16,0.000293,6.48,10188.52,634.31,0.28,2001
Mississippi,DSCoonRapidsDam,859.49,Max WS,65926.23,792.1,811.94,,812.51,0.000247,6.03,11050.49,712.16,0.26,2001
Mississippi,DSCoonRapidsDam,859.03,Max WS,65925.48,793.1,811.55,,811.95,0.000232,5.06,13105.09,1008.45,0.24,2001
Mississippi,DSCoonRapidsDam,858.56,Max WS,65923.74,793.1,810.43,,811.1,0.000451,6.56,10050.64,1103.94,0.33,2001
Mississippi,DSCoonRapidsDam,858.14,Max WS,65923.3,793.1,809.11,,809.97,0.000577,7.48,9498.94,920.28,0.38,2001
Mississippi,DSCoonRapidsDam,857.91,Max WS,65923.1,793.1,807.84,,808.97,0.000894,8.56,7743.68,743.12,0.46,2001
Mississippi,DSCoonRapidsDam,857.77,Max WS,65922.82,782.18,807.94,796.59,808.54,0.000248,6.2,10713.22,666.71,0.26,2001
Mississippi,DSCoonRapidsDam,857.75   37th Ave NE Brid,,Bridge,,,,,,,,,,2001
Mississippi,DSCoonRapidsDam,857.73,Max WS,65922.82,782.18,807.87,,808.46,0.000243,6.16,10798.17,662.32,0.26,2001
Mississippi,DSCoonRapidsDam,857.64,Max WS,65922.46,783.18,807.65,,808.33,0.000308,6.64,9960.67,625.77,0.29,2001
Mississippi,DSCoonRapidsDam,857.59,Max WS,65922.41,783.18,807.53,,808.26,0.00032,6.84,9759.55,630.66,0.3,2001
