River,Reach,River Sta,Profile,Q Total,Min Ch El,W.S. Elev,Crit W.S.,E.G. Elev,E.G. Slope,Vel Chnl,Flow Area,Top Width,Froude # Chl,Event 
Mississippi,DSCoonRapidsDam,866.29,Max WS,47166.67,811.63,819.76,,820.33,0.000743,6.07,7781.84,1407.93,0.4,2014
Mississippi,DSCoonRapidsDam,866.19,Max WS,47178.17,801.5,819.91,,820,0.000059,2.47,23584.74,2062.89,0.12,2014
Mississippi,DSCoonRapidsDam,865.94,Max WS,47153.42,802.7,819.45,,819.86,0.000308,5.61,11760.29,1739.7,0.28,2014
Mississippi,DSCoonRapidsDam,865.66,Max WS,47131.5,802.7,818.8,,819.34,0.000469,6.95,11928.41,2454.42,0.34,2014
Mississippi,DSCoonRapidsDam,865.4,Max WS,47121.41,802.7,818.47,,818.76,0.000215,4.54,14776.74,3061.78,0.23,2014
Mississippi,DSCoonRapidsDam,865.16,Max WS,47099.79,802.1,817.93,812.29,818.38,0.000414,5.53,9899.74,1561.01,0.31,2014
Mississippi,DSCoonRapidsDam,865.06   Highway 610 Brid,,Bridge,,,,,,,,,,2014
Mississippi,DSCoonRapidsDam,864.96,Max WS,47099.39,795.8,817.46,,817.92,0.000296,5.53,10390.87,1339.73,0.27,2014
Mississippi,DSCoonRapidsDam,864.83,Max WS,47099.43,795.8,817.34,,817.72,0.000218,4.95,9526.85,728.87,0.24,2014
Mississippi,DSCoonRapidsDam,864.55,Max WS,47099.23,798.9,816.77,,817.31,0.000338,5.91,8020.64,656.21,0.29,2014
Mississippi,DSCoonRapidsDam,864.34,Max WS,47099.31,800.4,816.7,,816.99,0.00021,4.63,12804.35,1159.34,0.23,2014
Mississippi,DSCoonRapidsDam,864.08,Max WS,47099.18,796,815.63,,816.61,0.000649,8.49,7824.76,1153.46,0.41,2014
Mississippi,DSCoonRapidsDam,863.8,Max WS,47099.22,786.7,815.28,,815.78,0.000284,5.96,10490.05,1027.84,0.27,2014
Mississippi,DSCoonRapidsDam,863.59,Max WS,47098.97,800.1,814.85,,815.39,0.000378,5.9,8036.1,815.21,0.31,2014
Mississippi,DSCoonRapidsDam,863.14,Max WS,47098.8,788.5,814.41,,814.73,0.000161,4.58,10328.13,701.79,0.21,2014
Mississippi,DSCoonRapidsDam,862.68,Max WS,47098.91,788.5,813.99,,814.33,0.00017,4.66,10360.34,807.95,0.21,2014
Mississippi,DSCoonRapidsDam,862.3,Max WS,47098.58,796.5,813.52,,813.92,0.000235,5.06,9352.62,740.16,0.25,2014
Mississippi,DSCoonRapidsDam,862.2    RiceCreek       ,,Lat Struct,,,,,,,,,,2014
Mississippi,DSCoonRapidsDam,862.08,Max WS,47098.63,791.3,813.33,,813.68,0.000162,4.75,9921,622.76,0.21,2014
Mississippi,DSCoonRapidsDam,861.82,Max WS,47649.41,794.3,813.1,,813.42,0.000213,4.49,10609.81,895.64,0.23,2014
Mississippi,DSCoonRapidsDam,861.52,Max WS,47649.27,794.3,812.67,,813.03,0.000304,4.78,9959.88,996.89,0.27,2014
Mississippi,DSCoonRapidsDam,861.23,Max WS,47649.31,794.7,812.04,,812.53,0.000449,6.07,10481.2,1414.19,0.33,2014
Mississippi,DSCoonRapidsDam,860.98,Max WS,47648.88,795.2,811.51,,811.98,0.000447,6.1,12454.2,1839.85,0.33,2014
Mississippi,DSCoonRapidsDam,860.62,Max WS,47648.78,790.3,811.13,,811.38,0.000123,4.04,11831.81,795.31,0.18,2014
Mississippi,DSCoonRapidsDam,860.47,Max WS,47648.7,789.5,810.9,800.31,811.26,0.00018,4.86,9948.08,721.59,0.22,2014
Mississippi,DSCoonRapidsDam,860.43   I-694 Bridge    ,,Bridge,,,,,,,,,,2014
Mississippi,DSCoonRapidsDam,860.38,Max WS,47648.36,791.7,810.66,,811.09,0.000203,5.26,9160.25,691.73,0.23,2014
Mississippi,DSCoonRapidsDam,860.23,Max WS,47648.66,791.3,810.61,,810.95,0.000163,4.64,10395.32,735.89,0.21,2014
Mississippi,DSCoonRapidsDam,859.97,Max WS,47648.38,792.1,810.22,,810.68,0.00025,5.44,8753.04,622.32,0.26,2014
Mississippi,DSCoonRapidsDam,859.49,Max WS,47648.44,792.1,809.74,,810.13,0.000208,5.04,9497.55,695.81,0.23,2014
Mississippi,DSCoonRapidsDam,859.03,Max WS,47648.17,793.1,809.33,,809.63,0.000222,4.39,10880.9,994.15,0.23,2014
Mississippi,DSCoonRapidsDam,858.56,Max WS,47647.77,793.1,808.28,,808.8,0.000447,5.77,8256.62,1046.26,0.32,2014
Mississippi,DSCoonRapidsDam,858.14,Max WS,47647.88,793.1,806.98,,807.66,0.000586,6.62,7570.58,889.61,0.37,2014
Mississippi,DSCoonRapidsDam,857.91,Max WS,47647.78,793.1,805.64,,806.58,0.001001,7.8,6123.43,730.87,0.47,2014
Mississippi,DSCoonRapidsDam,857.77,Max WS,47647.72,782.18,805.7,794.7,806.12,0.000206,5.15,9262.84,634.19,0.23,2014
Mississippi,DSCoonRapidsDam,857.75   37th Ave NE Brid,,Bridge,,,,,,,,,,2014
Mississippi,DSCoonRapidsDam,857.73,Max WS,47647.72,782.18,805.65,,806.05,0.000201,5.11,9345.68,644.36,0.23,2014
Mississippi,DSCoonRapidsDam,857.64,Max WS,47647.62,783.18,805.47,,805.95,0.000257,5.54,8610.91,613.93,0.26,2014
Mississippi,DSCoonRapidsDam,857.59,Max WS,47647.71,783.18,805.38,,805.88,0.000267,5.69,8422.36,613.65,0.27,2014
Mississippi,DSCoonRapidsDam,857.57,Max WS,47647.29,783.58,805.45,796.42,805.84,0.000227,5.01,9521.47,718.05,0.24,2014
Mississippi,DSCoonRapidsDam,857.55   Soo Line Railroa,,Bridge,,,,,,,,,,2014
Mississippi,DSCoonRapidsDam,857.52,Max WS,47647.68,783.58,805.39,,805.76,0.000218,4.89,9747.23,750,0.24,2014
Mississippi,DSCoonRapidsDam,857.43,Max WS,47647.7,783.58,805.18,,805.67,0.000279,5.61,8510.48,639.21,0.27,2014
Mississippi,DSCoonRapidsDam,857.26,Max WS,47647.37,786.38,804.9,,805.4,0.000256,5.62,8472,582.59,0.26,2014
Mississippi,DSCoonRapidsDam,856.88,Max WS,47647.45,785.08,804.62,,804.95,0.000182,4.61,10338.41,745.2,0.22,2014
Mississippi,DSCoonRapidsDam,856.56,Max WS,47647.35,785.08,804.43,,804.68,0.000128,3.97,12016.2,846.47,0.18,2014
Mississippi,DSCoonRapidsDam,856.42,Max WS,47647.41,785.58,804.25,793.87,804.57,0.000163,4.51,10576.05,722.17,0.21,2014
Mississippi,DSCoonRapidsDam,856.39   Lowry Ave Bridge,,Bridge,,,,,,,,,,2014
Mississippi,DSCoonRapidsDam,856.34,Max WS,47647.5,782.88,804.17,,804.47,0.000164,4.4,10840.31,775.66,0.21,2014
Mississippi,DSCoonRapidsDam,856.18,Max WS,47647.29,783.78,803.95,,804.31,0.000183,4.85,9823.01,653.28,0.22,2014
Mississippi,DSCoonRapidsDam,855.93,Max WS,47647.44,783.78,803.68,,804.06,0.000197,4.94,9638.44,665.92,0.23,2014
Mississippi,DSCoonRapidsDam,855.84,Max WS,47647.2,782.78,803.61,792.81,803.96,0.000172,4.77,9992.51,653.99,0.22,2014
Mississippi,DSCoonRapidsDam,855.8    Burlington North,,Bridge,,,,,,,,,,2014
Mississippi,DSCoonRapidsDam,855.77,Max WS,47647.1,782.68,803.54,,803.87,0.000162,4.63,10371.66,733.66,0.21,2014
Mississippi,DSCoonRapidsDam,855.67,Max WS,47647.45,782.68,803.47,,803.79,0.000155,4.51,10559.13,699.24,0.2,2014
Mississippi,DSCoonRapidsDam,855.56,Max WS,47647.04,782.98,803.28,,803.67,0.000211,5.05,9450.34,678.4,0.24,2014
Mississippi,DSCoonRapidsDam,855.46,Max WS,47647.47,782.98,803.21,793.47,803.58,0.000196,4.87,9781.15,688.06,0.23,2014
Mississippi,DSCoonRapidsDam,855.43   Broadway Ave Bri,,Bridge,,,,,,,,,,2014
